month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2000-02,Iowa,4825,,46,2776,,7,7,,,,,,,,,,,,,,,,,,7661
2000-02,Kansas,0,,3182,4811,,226,0,,,,,,,,,,,,,,,,,,8219
2000-02,Kentucky,0,,9215,11955,,451,0,,,,,,,,,,,,,,,,,,21621
2000-02,Louisiana,0,,6288,6746,,246,0,,,,,,,,,,,,,,,,,,13280
2000-02,Maine,0,,1057,1614,,52,0,,,,,,,,,,,,,,,,,,2723
2000-02,Mariana Islands,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,0
2000-02,Maryland,3028,,167,3358,,13,0,,,,,,,,,,,,,,,,,,6566
2000-02,Massachusetts,406,,1394,730,,23,272,,,,,,,,,,,,,,,,,,2825
2000-02,Michigan,10620,,85,11080,,8,0,,,,,,,,,,,,,,,,,,21793
2000-02,Minnesota,3075,,2743,6831,,103,0,,,,,,,,,,,,,,,,,,12752
2000-02,Mississippi,0,,6988,7932,,249,0,,,,,,,,,,,,,,,,,,15169
2000-02,Missouri,1,,4077,12722,,133,0,,,,,,,,,,,,,,,,,,16933
2000-02,Montana,0,,1699,3477,,125,0,,,,,,,,,,,,,,,,,,5301
2000-02,Nebraska,1552,,52,1678,,2,0,,,,,,,,,,,,,,,,,,3284
2000-02,Nevada,0,,2297,1988,,147,0,,,,,,,,,,,,,,,,,,4432
2000-02,New Hampshire,44,,1173,1474,,3,0,,,,,,,,,,,,,,,,,,2694
2000-02,New Jersey,0,,1366,1366,,46,0,,,,,,,,,,,,,,,,,,2778
2000-02,New Mexico,0,,2964,4520,,203,0,,,,,,,,,,,,,,,,,,7687
2000-02,New York,3986,,960,6116,,8,36,,,,,,,,,,,,,,,,,,11106
2000-02,North Carolina,11945,,1747,13279,,154,0,,,,,,,,,,,,,,,,,,27125
2000-02,North Dakota,198,,497,1380,,24,0,,,,,,,,,,,,,,,,,,2099
2000-02,Ohio,0,,10979,12697,,528,0,,,,,,,,,,,,,,,,,,24204
2000-02,Oklahoma,3,,5465,9111,,386,7,,,,,,,,,,,,,,,,,,14972
2000-02,Oregon,0,,4920,6442,,189,0,,,,,,,,,,,,,,,,,,11551
2000-02,Pennsylvania,418,,0,36991,,522,0,,,,,,,,,,,,,,,,,,37931
2000-02,Puerto Rico,0,,347,61,,10,0,,,,,,,,,,,,,,,,,,418
2000-02,Rhode Island,0,,442,317,,94,0,,,,,,,,,,,,,,,,,,853
2000-02,South Carolina,799,,5389,5524,,139,0,,,,,,,,,,,,,,,,,,11851
2000-02,South Dakota,0,,531,1728,,29,0,,,,,,,,,,,,,,,,,,2288
2000-02,Tennessee,0,,10708,10149,,321,0,,,,,,,,,,,,,,,,,,21178
2000-02,Texas,5275,,19266,27237,,1083,0,,,,,,,,,,,,,,,,,,52861
2000-02,Utah,0,,2357,3406,,68,0,,,,,,,,,,,,,,,,,,5831
2000-02,Vermont,0,,579,981,,30,0,,,,,,,,,,,,,,,,,,1590
2000-02,Virgin Islands,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,0
2000-02,Virginia,0,,6927,8623,,244,0,,,,,,,,,,,,,,,,,,15794
2000-02,Washington,1377,,3163,5791,,192,11,,,,,,,,,,,,,,,,,,10534
2000-02,West Virginia,0,,3957,7330,,259,0,,,,,,,,,,,,,,,,,,11546
2000-02,Wisconsin,0,,3830,9172,,11,0,,,,,,,,,,,,,,,,,,13013
2000-02,Wyoming,268,,906,1729,,53,0,,,,,,,,,,,,,,,,,,2956
2000-01,Alabama,0,,7542,10009,,309,0,,,,,,,,,,,,,,,,,,17860
2000-01,Alaska,0,,809,1288,,52,0,,,,,,,,,,,,,,,,,,2149
2000-01,Arizona,1372,,5761,4762,,235,62,,,,,,,,,,,,,,,,,,12192
2000-01,Arkansas,804,,3684,7911,,193,0,,,,,,,,,,,,,,,,,,12592
2000-01,California,12259,,22711,22830,,0,0,,,,,,,,,,,,,,,,,,57800
2000-01,Colorado,0,,9950,12557,,1104,3,,,,,,,,,,,,,,,,,,23614
2000-01,Connecticut,7652,,3,3,,0,3,,,,,,,,,,,,,,,,,,7661
2000-01,Delaware,0,,429,616,,12,0,,,,,,,,,,,,,,,,,,1057
2000-01,District of Columbia,0,,4,0,,0,0,,,,,,,,,,,,,,,,,,4
2000-01,Florida,0,,9967,8871,,340,1891,,,,,,,,,,,,,,,,,,21069
2000-01,Georgia,3983,,7828,8832,,246,9044,,,,,,,,,,,,,,,,,,29933
2000-01,Guam,0,,6,16,,1,0,,,,,,,,,,,,,,,,,,23
2000-01,Hawaii,576,,0,0,,0,0,,,,,,,,,,,,,,,,,,576
2000-01,Idaho,0,,1493,2740,,79,972,,,,,,,,,,,,,,,,,,5284
2000-01,Illinois,25829,,6205,7059,,180,0,,,,,,,,,,,,,,,,,,39273
2000-01,Indiana,0,,2230,12428,,5,0,,,,,,,,,,,,,,,,,,14663
2000-01,Iowa,5989,,42,2563,,2,23,,,,,,,,,,,,,,,,,,8619
2000-01,Kansas,0,,2994,4852,,141,0,,,,,,,,,,,,,,,,,,7987
2000-01,Kentucky,0,,7404,9685,,370,0,,,,,,,,,,,,,,,,,,17459
2000-01,Louisiana,0,,5333,7232,,202,0,,,,,,,,,,,,,,,,,,12767
2000-01,Maine,0,,962,1602,,42,0,,,,,,,,,,,,,,,,,,2606
2000-01,Mariana Islands,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,0
2000-01,Maryland,2715,,141,2896,,6,0,,,,,,,,,,,,,,,,,,5758
2000-01,Massachusetts,490,,1044,706,,18,320,,,,,,,,,,,,,,,,,,2578
2000-01,Michigan,11037,,70,10116,,4,0,,,,,,,,,,,,,,,,,,21227
2000-01,Minnesota,2469,,2486,5074,,75,0,,,,,,,,,,,,,,,,,,10104
2000-01,Mississippi,0,,4960,7057,,183,0,,,,,,,,,,,,,,,,,,12200
2000-01,Missouri,0,,3288,10698,,186,0,,,,,,,,,,,,,,,,,,14172
2000-01,Montana,0,,1392,2922,,93,0,,,,,,,,,,,,,,,,,,4407
2000-01,Nebraska,1430,,41,1722,,3,0,,,,,,,,,,,,,,,,,,3196
2000-01,Nevada,0,,2220,1887,,131,0,,,,,,,,,,,,,,,,,,4238
2000-01,New Hampshire,20,,1134,1581,,18,0,,,,,,,,,,,,,,,,,,2753
2000-01,New Jersey,0,,1147,1419,,36,12,,,,,,,,,,,,,,,,,,2614
2000-01,New Mexico,0,,2408,3766,,125,0,,,,,,,,,,,,,,,,,,6299
2000-01,New York,4634,,691,5567,,9,56,,,,,,,,,,,,,,,,,,10957
2000-01,North Carolina,11115,,1296,11405,,94,0,,,,,,,,,,,,,,,,,,23910
2000-01,North Dakota,126,,456,1232,,20,0,,,,,,,,,,,,,,,,,,1834
2000-01,Ohio,0,,8932,10795,,473,0,,,,,,,,,,,,,,,,,,20200
2000-01,Oklahoma,0,,4388,7340,,229,0,,,,,,,,,,,,,,,,,,11957
2000-01,Oregon,0,,4251,5248,,159,0,,,,,,,,,,,,,,,,,,9658
2000-01,Pennsylvania,521,,1,33945,,653,0,,,,,,,,,,,,,,,,,,35120
2000-01,Puerto Rico,0,,185,57,,5,0,,,,,,,,,,,,,,,,,,247
2000-01,Rhode Island,0,,346,338,,90,0,,,,,,,,,,,,,,,,,,774
2000-01,South Carolina,563,,4275,4964,,103,0,,,,,,,,,,,,,,,,,,9905
2000-01,South Dakota,0,,448,1527,,22,0,,,,,,,,,,,,,,,,,,1997
2000-01,Tennessee,0,,9426,9238,,264,0,,,,,,,,,,,,,,,,,,18928
2000-01,Texas,4957,,16975,25892,,800,2,,,,,,,,,,,,,,,,,,48626
2000-01,Utah,0,,1788,2782,,41,0,,,,,,,,,,,,,,,,,,4611
2000-01,Vermont,0,,433,679,,11,0,,,,,,,,,,,,,,,,,,1123
2000-01,Virgin Islands,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,0
2000-01,Virginia,0,,6044,7453,,139,0,,,,,,,,,,,,,,,,,,13636
2000-01,Washington,1309,,2794,4919,,126,23,,,,,,,,,,,,,,,,,,9171
2000-01,West Virginia,0,,3059,5374,,156,0,,,,,,,,,,,,,,,,,,8589
2000-01,Wisconsin,0,,3425,6937,,6,0,,,,,,,,,,,,,,,,,,10368
2000-01,Wyoming,312,,776,1385,,35,0,,,,,,,,,,,,,,,,,,2508
1999-12,Alabama,0,,10923,29890,,370,0,,,,,,,,,,,,,,,,,,41183
1999-12,Alaska,0,,1354,2833,,77,0,,,,,,,,,,,,,,,,,,4264
1999-12,Arizona,1300,,9128,10665,,373,55,,,,,,,,,,,,,,,,,,21521
1999-12,Arkansas,372,,5482,19908,,296,0,,,,,,,,,,,,,,,,,,26058
1999-12,California,9163,,49418,77697,,0,0,,,,,,,,,,,,,,,,,,136278
1999-12,Colorado,0,,16919,27112,,1365,1,,,,,,,,,,,,,,,,,,45397
1999-12,Connecticut,4041,,1944,2367,,3,21,,,,,,,,,,,,,,,,,,8376
1999-12,Delaware,0,,795,2146,,28,0,,,,,,,,,,,,,,,,,,2969
1999-12,District of Columbia,0,,2,0,,0,0,,,,,,,,,,,,,,,,,,2
1999-12,Florida,0,,14736,24200,,598,3277,,,,,,,,,,,,,,,,,,42811
1999-12,Georgia,4275,,16017,27898,,472,20631,,,,,,,,,,,,,,,,,,69293
1999-12,Guam,0,,14,13,,0,0,,,,,,,,,,,,,,,,,,27
1999-12,Hawaii,671,,0,0,,0,0,,,,,,,,,,,,,,,,,,671
1999-12,Idaho,0,,2456,5936,,113,774,,,,,,,,,,,,,,,,,,9279
1999-12,Illinois,26777,,9292,15448,,279,0,,,,,,,,,,,,,,,,,,51796
1999-12,Indiana,0,,4311,20476,,11,0,,,,,,,,,,,,,,,,,,24798
1999-12,Iowa,6271,,50,7721,,3,10,,,,,,,,,,,,,,,,,,14055
1999-12,Kansas,0,,3700,11091,,210,0,,,,,,,,,,,,,,,,,,15001
1999-12,Kentucky,0,,11426,23480,,502,0,,,,,,,,,,,,,,,,,,35408
1999-12,Louisiana,0,,7460,22840,,292,0,,,,,,,,,,,,,,,,,,30592
1999-12,Maine,0,,1320,3561,,71,0,,,,,,,,,,,,,,,,,,4952
1999-12,Mariana Islands,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,0
1999-12,Maryland,3662,,209,8127,,8,0,,,,,,,,,,,,,,,,,,12006
1999-12,Massachusetts,518,,1377,1358,,29,216,,,,,,,,,,,,,,,,,,3498
1999-12,Michigan,12166,,112,26295,,9,0,,,,,,,,,,,,,,,,,,38582
1999-12,Minnesota,2732,,3613,12175,,103,0,,,,,,,,,,,,,,,,,,18623
1999-12,Mississippi,0,,7253,21383,,255,0,,,,,,,,,,,,,,,,,,28891
1999-12,Missouri,1,,4792,23830,,158,0,,,,,,,,,,,,,,,,,,28781
1999-12,Montana,0,,1976,5158,,94,0,,,,,,,,,,,,,,,,,,7228
1999-12,Nebraska,1714,,54,5388,,5,0,,,,,,,,,,,,,,,,,,7161
1999-12,Nevada,0,,3593,4569,,203,0,,,,,,,,,,,,,,,,,,8365
1999-12,New Hampshire,0,,1680,3083,,13,0,,,,,,,,,,,,,,,,,,4776
1999-12,New Jersey,0,,1468,3129,,64,6,,,,,,,,,,,,,,,,,,4667
1999-12,New Mexico,0,,3919,7953,,251,0,,,,,,,,,,,,,,,,,,12123
1999-12,New York,4912,,778,14673,,10,42,,,,,,,,,,,,,,,,,,20415
1999-12,North Carolina,12465,,1725,33628,,103,0,,,,,,,,,,,,,,,,,,47921
1999-12,North Dakota,103,,549,2648,,17,0,,,,,,,,,,,,,,,,,,3317
1999-12,Ohio,0,,14076,26744,,676,0,,,,,,,,,,,,,,,,,,41496
1999-12,Oklahoma,0,,6746,17121,,388,0,,,,,,,,,,,,,,,,,,24255
1999-12,Oregon,0,,7507,13070,,240,0,,,,,,,,,,,,,,,,,,20817
1999-12,Pennsylvania,532,,1,56133,,1308,0,,,,,,,,,,,,,,,,,,57974
1999-12,Puerto Rico,0,,392,94,,6,0,,,,,,,,,,,,,,,,,,492
1999-12,Rhode Island,0,,482,620,,123,0,,,,,,,,,,,,,,,,,,1225
1999-12,South Carolina,466,,6716,14799,,155,0,,,,,,,,,,,,,,,,,,22136
1999-12,South Dakota,0,,575,3367,,22,0,,,,,,,,,,,,,,,,,,3964
1999-12,Tennessee,0,,14717,26478,,442,0,,,,,,,,,,,,,,,,,,41637
1999-12,Texas,4714,,26652,69368,,1281,0,,,,,,,,,,,,,,,,,,102015
1999-12,Utah,0,,3400,8661,,89,0,,,,,,,,,,,,,,,,,,12150
1999-12,Vermont,0,,678,1726,,21,0,,,,,,,,,,,,,,,,,,2425
1999-12,Virgin Islands,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,0
1999-12,Virginia,0,,10238,19346,,228,0,,,,,,,,,,,,,,,,,,29812
1999-12,Washington,1297,,3847,12408,,159,35,,,,,,,,,,,,,,,,,,17746
1999-12,West Virginia,0,,4618,11087,,206,0,,,,,,,,,,,,,,,,,,15911
1999-12,Wisconsin,0,,4753,14191,,8,0,,,,,,,,,,,,,,,,,,18952
1999-12,Wyoming,112,,1165,2914,,49,1,,,,,,,,,,,,,,,,,,4241
1999-11,Alabama,0,,7677,21455,,313,0,,,,,,,,,,,,,,,,,,29445
1999-11,Alaska,0,,1056,2048,,65,0,,,,,,,,,,,,,,,,,,3169
1999-11,Arizona,1534,,5709,6185,,286,0,,,,,,,,,,,,,,,,,,13714
1999-11,Arkansas,254,,3877,19531,,284,0,,,,,,,,,,,,,,,,,,23946
1999-11,California,10394,,33398,46599,,0,0,,,,,,,,,,,,,,,,,,90391
1999-11,Colorado,0,,11344,18611,,854,2,,,,,,,,,,,,,,,,,,30811
1999-11,Connecticut,2201,,1807,2583,,8,15,,,,,,,,,,,,,,,,,,6614
1999-11,Delaware,0,,625,1760,,18,0,,,,,,,,,,,,,,,,,,2403
1999-11,District of Columbia,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,0
1999-11,Florida,0,,10440,15319,,399,2332,,,,,,,,,,,,,,,,,,28490
1999-11,Georgia,3651,,7789,17248,,265,12156,,,,,,,,,,,,,,,,,,41109
1999-11,Guam,0,,12,11,,0,0,,,,,,,,,,,,,,,,,,23
1999-11,Hawaii,566,,0,0,,0,0,,,,,,,,,,,,,,,,,,566
1999-11,Idaho,0,,1743,4225,,89,737,,,,,,,,,,,,,,,,,,6794
1999-11,Illinois,32712,,6572,13699,,218,0,,,,,,,,,,,,,,,,,,53201
1999-11,Indiana,0,,2557,19673,,12,0,,,,,,,,,,,,,,,,,,22242
1999-11,Iowa,3421,,41,7507,,4,11,,,,,,,,,,,,,,,,,,10984
1999-11,Kansas,0,,2973,10615,,195,0,,,,,,,,,,,,,,,,,,13783
1999-11,Kentucky,0,,8000,19835,,394,0,,,,,,,,,,,,,,,,,,28229
1999-11,Louisiana,0,,5336,18423,,232,0,,,,,,,,,,,,,,,,,,23991
1999-11,Maine,0,,990,3709,,45,0,,,,,,,,,,,,,,,,,,4744
1999-11,Mariana Islands,0,,0,13,,0,0,,,,,,,,,,,,,,,,,,13
1999-11,Maryland,3383,,180,7935,,8,0,,,,,,,,,,,,,,,,,,11506
1999-11,Massachusetts,343,,1154,1366,,19,269,,,,,,,,,,,,,,,,,,3151
1999-11,Michigan,10331,,111,28946,,7,0,,,,,,,,,,,,,,,,,,39395
1999-11,Minnesota,2256,,2426,12272,,72,0,,,,,,,,,,,,,,,,,,17026
1999-11,Mississippi,0,,5005,18516,,192,0,,,,,,,,,,,,,,,,,,23713
1999-11,Missouri,0,,3255,20974,,189,0,,,,,,,,,,,,,,,,,,24418
1999-11,Montana,0,,1304,4376,,97,0,,,,,,,,,,,,,,,,,,5777
1999-11,Nebraska,1569,,56,4578,,1,0,,,,,,,,,,,,,,,,,,6204
1999-11,Nevada,0,,2542,2672,,136,0,,,,,,,,,,,,,,,,,,5350
1999-11,New Hampshire,2,,1311,2963,,12,0,,,,,,,,,,,,,,,,,,4288
1999-11,New Jersey,0,,1318,3086,,56,8,,,,,,,,,,,,,,,,,,4468
1999-11,New Mexico,0,,2534,5441,,144,0,,,,,,,,,,,,,,,,,,8119
1999-11,New York,4223,,728,15637,,8,43,,,,,,,,,,,,,,,,,,20639
1999-11,North Carolina,8620,,1494,24469,,90,0,,,,,,,,,,,,,,,,,,34673
1999-11,North Dakota,29,,394,2444,,18,0,,,,,,,,,,,,,,,,,,2885
