#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	addr
#fields	ts	id	scalar	record.scalar	record.set	vector
#types	time	count	addr	addr	set[addr]	vector[addr]
1582646597.838527	1	1.1.1.1	-	-	-
1582646597.838527	2	::	-	-	-
1582646597.838527	3	fe80::58d2:2d09:e8cb:a8ad	-	-	-
1582646597.838527	4	-	-	-	-
1582646597.838527	5	-	1.1.1.1	-	-
1582646597.838527	6	-	::	-	-
1582646597.838527	7	-	fe80::58d2:2d09:e8cb:a8ad	-	-
1582646597.838527	8	-	-	(empty)	-
1582646597.838527	9	-	-	1.1.1.1,::,fe80::58d2:2d09:e8cb:a8ad	-
1582646597.838527	10	-	-	-	(empty)
1582646597.838527	11	-	-	-	1.1.1.1,::,fe80::58d2:2d09:e8cb:a8ad
#path	string
#fields	ts	id	scalar	record.scalar	record.set	vector
#types	time	count	string	string	set[string]	vector[string]
1582646597.838527	14	mystr	-	-	-
1582646597.838527	15	\x28empty)	-	-	-
1582646597.838527	16	\x2d	-	-	-
1582646597.838527	17	\x09	-	-	-
1582646597.838527	18	"	-	-	-
1582646597.838527	19	'	-	-	-
1582646597.838527	20	,	-	-	-
1582646597.838527	21	\x2c	-	-	-
1582646597.838527	22	;	-	-	-
1582646597.838527	23	\xe2\x88\xab\xc2\xa3\xc5\x93\xc3\x9f\xc3\xbc\xe2\x84\xa2	-	-	-
1582646597.838527	24	"mystr"	-	-	-
1582646597.838527	25	'mystr'	-	-	-
1582646597.838527	26	*	-	-	-
1582646597.838527	27	"*"	-	-	-
1582646597.838527	28	1.1.1.1	-	-	-
1582646597.838527	29	-	mystr	-	-
1582646597.838527	30	-	\x28empty)	-	-
1582646597.838527	31	-	\x2d	-	-
1582646597.838527	32	-	\x09	-	-
1582646597.838527	33	-	"	-	-
1582646597.838527	34	-	'	-	-
1582646597.838527	35	-	,	-	-
1582646597.838527	36	-	\x2c	-	-
1582646597.838527	37	-	;	-	-
1582646597.838527	38	-	\xe2\x88\xab\xc2\xa3\xc5\x93\xc3\x9f\xc3\xbc\xe2\x84\xa2	-	-
1582646597.838527	39	-	"mystr"	-	-
1582646597.838527	40	-	'mystr'	-	-
1582646597.838527	41	-	*	-	-
1582646597.838527	42	-	"*"	-	-
1582646597.838527	43	-	1.1.1.1	-	-
1582646597.838527	44	-	-	(empty)	-
1582646597.838527	45	-	-	\x2d,null	-
1582646597.838527	46	-	-	\x2c,⦻	-
1582646597.838527	47	-	-	otherstr,mystr,\x20, ,anotherstr	-
1582646597.838527	48	-	-	\x28empty\x29,",',;,\xe2\x88\xab\xc2\xa3\xc5\x93\xc3\x9f\xc3\xbc\xe2\x84\xa2,*	-
1582646597.838527	49	-	-	-	(empty)
1582646597.838527	50	-	-	-	\x2d,null
1582646597.838527	51	-	-	-	\x2c,⦻
1582646597.838527	52	-	-	-	otherstr,mystr,\x20, ,anotherstr
1582646597.838527	53	-	-	-	\x28empty\x29,",',;,\xe2\x88\xab\xc2\xa3\xc5\x93\xc3\x9f\xc3\xbc\xe2\x84\xa2,*
1582646597.838527	54	 	-	-	-
1582646597.838527	55	\x20	-	-	-
1582646597.838527	56	⦻	-	-	-
1582646597.838527	57	null	-	-	-
1582646597.838527	58	-		-	-
1582646597.838527	59	-	\x20	-	-
1582646597.838527	60	-	⦻	-	-
1582646597.838527	61	-	null	-	-
